insolation_flux,transit_depth,stellar_rad,planet_radius,orbital_period,stellar_logg,mission,disposition,equilibrium_temp,stellar_teff,transit_duration
258.34,5226.5,0.809,6.02,3.728732147,4.577,Kepler,CANDIDATE,1023.0,5497.0,2.683
11.29,6256.0,0.781,7.51,40.4195037,4.507,Kepler,CANDIDATE,467.0,5446.0,3.362
107.6,821.7,0.564,1.99,2.243380573,4.698,Kepler,CANDIDATE,822.0,4149.0,1.1196
113.94,14489.0,0.924,11.23,10.405998015,4.393,Kepler,FALSE POSITIVE,833.0,5746.0,6.5036
311.16,971.2,0.765,2.34,2.337437946,4.595,Kepler,CANDIDATE,1070.0,5005.0,1.9982
68.63,556.4,0.765,19.45,7.2406612,4.595,Kepler,CANDIDATE,734.0,5005.0,0.558
617.61,23.2,1.087,0.55,3.43591631,4.339,Kepler,CANDIDATE,1272.0,5779.0,3.133
5.82,2804.5,0.473,2.65,11.59822233,4.79,Kepler,CANDIDATE,396.0,3688.0,2.5237
251.38,2793.3,0.989,5.31,6.575315881,4.415,Kepler,CANDIDATE,1015.0,5992.0,4.3084
113.64,3001.0,0.867,4.86,7.275040844,4.556,Kepler,CANDIDATE,833.0,5485.0,7.5377
5.66,1219.8,0.56,1.93,19.27153892,4.702,Kepler,CANDIDATE,393.0,4077.0,2.7594
13.43,1053.3,0.56,1.91,10.06524317,4.702,Kepler,CANDIDATE,488.0,4077.0,1.369
49.68,916.6,0.75,2.66,12.3935651,4.603,Kepler,CANDIDATE,677.0,5557.0,3.8896
18.77,615.2,1.012,2.87,43.84439721,4.406,Kepler,CANDIDATE,531.0,5854.0,6.802
268.67,725.3,0.811,21.55,3.341913228,4.551,Kepler,FALSE POSITIVE,1032.0,5295.0,3.813
1355.88,1620.6,0.973,32.43,1.626630225,4.41,Kepler,FALSE POSITIVE,1547.0,5735.0,2.1145
960.79,837.5,1.076,3.12,2.711504086,4.442,Kepler,CANDIDATE,1420.0,6214.0,3.0099
260.58,950.4,1.076,3.32,7.21203748,4.442,Kepler,CANDIDATE,1025.0,6214.0,4.0491
